filename,language,lines_of_code,num_functions,num_comments,comment_ratio,avg_line_length,max_line_length,indentation_consistency,nesting_depth,cyclomatic_complexity,num_imports,num_loops,num_conditionals,num_exceptions,has_docstring,avg_tokens_per_line,keyword_density,blank_lines_ratio,avg_identifier_quality
khanhnamle1994_MetaRec_MF.py,Python,17,4,38,0.6785714285714286,32.753246753246756,93,0.2,0,2.0,3,0,0,0,1,4.470588235294118,0.5294117647058824,0.1948051948051948,1.0
noahgift_devml_dml,Unknown,213,0,0,0.0,34.04135338345865,114,0.2,0,0.0,0,0,12,2,0,5.018779342723005,0.0,0.1992481203007518,0.0
4shutoshbhardwaj_150-leetcode_17.js,JavaScript,25,1,1,0.037037037037037,18.703703703703702,108,0.1111111111111111,3,3.0,0,2,0,0,0,1.92,0.28,0.037037037037037,1.0
alexmanwell_algo-tasks_ConvertAHexStringToRGB.js,JavaScript,8,2,1,0.1,26.0,57,0.3333333333333333,2,1.0,0,0,0,0,0,4.375,0.625,0.1818181818181818,0.875
twilson63_ng-adventure_ex1.js,JavaScript,45,3,0,0.0,23.761904761904763,129,0.3333333333333333,1,1.0,4,0,0,0,0,5.022222222222222,0.2444444444444444,0.2857142857142857,1.0
deadstudios_GLEM_archive.js,JavaScript,361,15,2,0.0054945054945054,52.304964539007095,236,0.04,7,1.2,2,6,20,8,0,5.28808864265928,0.6011080332409973,0.1418439716312056,1.0
nasht12_savantseal_env.mjs,Unknown,10,0,0,0.0,23.454545454545453,61,0.2,0,0.0,0,0,0,0,0,2.6,0.0,0.0909090909090909,0.0
whitneyland_Papp_app.js,JavaScript,21,2,2,0.0833333333333333,39.035714285714285,113,0.1111111111111111,2,1.0,0,0,0,0,0,4.285714285714286,0.1904761904761904,0.1785714285714285,1.0
fpj-engmgr_ml-with-python_housing-prices.py,Python,76,1,28,0.2666666666666666,44.08108108108108,180,1.0,0,1.0,14,0,0,0,0,5.7631578947368425,0.5131578947368421,0.063063063063063,1.0
alexbosworth_balanceofsatoshis_bos,Unknown,2222,0,0,0.0,42.070754716981135,80,0.0909090909090909,0,0.0,0,0,2,66,0,5.050855085508551,0.0,0.0471698113207547,0.0
liucailin_leetcode_77.combinations.py,Python,17,2,7,0.28,17.84375,57,0.0769230769230769,0,2.0,1,1,1,0,0,3.764705882352941,0.5882352941176471,0.25,0.75
shahram95_leetcode_2024_202.happy-number.py,Python,14,2,7,0.3181818181818182,20.93103448275862,62,0.0769230769230769,0,2.5,0,2,0,0,0,3.357142857142857,0.5714285714285714,0.2758620689655172,1.0
LalitKushwah_100DaysOfCode_DS.js,JavaScript,22,1,1,0.0416666666666666,22.24,79,0.125,3,5.0,0,1,3,0,0,2.227272727272727,0.5454545454545454,0.08,1.0
doubleZ0108_Leetcode_831.隐藏个人信息.py,Python,15,1,8,0.3333333333333333,25.16,82,0.0588235294117647,0,5.0,0,1,4,0,0,3.3333333333333335,0.6666666666666666,0.08,0.5
cerc-io_stack-orchestrator_setup.py,Python,31,0,1,0.0303030303030303,37.9375,102,0.2,0,0.0,1,0,0,0,0,3.838709677419355,0.2903225806451613,0.0,0.0
bcswieder117_Misc-Python-Programming_LeetCode_CountArrays.py,Python,32,3,4,0.1081081081081081,22.489795918367346,83,0.1111111111111111,0,3.3333333333333335,0,3,4,0,0,4.75,0.6875,0.2653061224489796,1.0
gabrielhicks_old_portfolio_db.js,JavaScript,181,0,0,0.0,31.646408839779006,137,0.2,1,0.0,0,0,0,0,0,3.718232044198895,0.0276243093922651,0.0,0.0
Tyn-Tian_Codewars-Challenge-2024_22.js,JavaScript,15,1,4,0.2,24.40909090909091,93,0.2,2,4.0,0,1,0,0,0,2.8666666666666667,0.4666666666666667,0.1363636363636363,1.0
Bancy-png_alx-fe-reactjs_main.jsx,Unknown,10,0,0,0.0,21.727272727272727,51,0.3333333333333333,0,0.0,0,0,0,0,0,2.9,0.0,0.0909090909090909,0.0
ricopella_algorithm-practice_selectionSort.js,JavaScript,34,3,6,0.1463414634146341,37.04081632653061,182,0.0833333333333333,3,3.0,0,1,3,0,0,5.235294117647059,0.6764705882352942,0.1836734693877551,1.0
NimaSarajpoor_ChallengeFighter_elements_appear_more_than_25percent.py,Python,7,1,5,0.3846153846153846,35.9375,137,0.1111111111111111,0,3.0,1,1,1,0,1,3.7142857142857144,1.1428571428571428,0.125,0.8571428571428571
Inflectra_ui-test-automation-playground_app.js,JavaScript,206,33,1,0.0048076923076923,19.06451612903226,97,0.1428571428571428,3,1.181818181818182,2,2,0,0,0,2.7184466019417477,0.3203883495145631,0.1653225806451612,0.9696969696969696
saro-mano_Hackerrank-Rest-API_soln2.py,Python,22,1,7,0.2333333333333333,24.441176470588236,125,0.2,0,2.0,7,1,1,0,0,3.909090909090909,0.5454545454545454,0.1470588235294117,1.0
umbrellio_gbot_gbot,Unknown,26,0,0,0.0,22.387096774193548,96,0.2,0,0.0,0,0,0,0,0,3.1153846153846154,0.0,0.1612903225806451,0.0
SheetanshKumar_smart-interviews-problems_nCr.py,Python,14,1,27,0.6428571428571429,19.41379310344828,128,0.0769230769230769,0,7.0,1,3,2,0,1,6.357142857142857,1.2142857142857142,0.2586206896551724,1.0
therufa_mdi-vue_v3.js,JavaScript,19,1,0,0.0,20.363636363636363,64,0.2,2,2.0,2,0,0,0,0,2.6842105263157894,0.7894736842105263,0.1363636363636363,1.0
blueedgetechno_blueweb_cards.js,JavaScript,151,5,0,0.0,100.4102564102564,398,0.0909090909090909,2,1.0,1,0,0,0,0,12.23841059602649,0.1589403973509933,0.032051282051282,0.8
SaulinTuhin_LeetCode_Problem_1400.py,Python,19,1,2,0.0909090909090909,24.346153846153847,51,0.0588235294117647,0,6.0,1,1,5,0,0,3.526315789473684,1.0,0.1923076923076923,1.0
Avinash-yadav103_BlogWebsite_learn-javascript.js,JavaScript,334,38,47,0.1230366492146596,21.779324055666,353,0.2,4,1.0789473684210529,2,2,3,1,0,3.904191616766467,0.4700598802395209,0.2425447316103379,1.0
bitmovin_bitmovin-javascript_07_encoding_dash_hls_thumbnail.js,JavaScript,729,115,9,0.0121786197564276,31.048463356973997,131,0.0476190476190476,8,1.3043478260869563,2,0,17,0,0,2.720164609053498,0.3031550068587105,0.1276595744680851,0.9780564963940924
flatsiedatsie_papeg_ai_ai.js,JavaScript,3531,1,216,0.0576307363927428,38.98509973564047,655,0.2,4,2.0,0,2,0,0,0,4.964882469555366,0.0674030019824412,0.099495313626532,0.75
sumanthtatipamula_Programming_737.sentence-similarity-ii.py,Python,22,2,84,0.7850467289719626,32.092592592592595,120,0.0526315789473684,0,5.5,0,3,4,0,0,4.681818181818182,1.3636363636363635,0.0185185185185185,0.9
KuangPF_vue-cli-analysis_ui.js,JavaScript,185,19,3,0.0158730158730158,28.528846153846153,128,0.0909090909090909,6,1.5789473684210529,2,1,4,0,0,2.9891891891891893,0.2216216216216216,0.0961538461538461,0.9517543859649122
Harshini-1974_Web_Grocery_ser.js,JavaScript,48,10,5,0.0925925925925925,29.421875,95,0.3333333333333333,2,1.1,3,0,1,0,0,4.916666666666667,0.2083333333333333,0.171875,1.0
ricopella_algorithm-practice_insertionSort.js,JavaScript,34,3,0,0.0,40.86842105263158,169,0.0833333333333333,3,2.6666666666666665,0,1,3,0,0,6.235294117647059,0.6764705882352942,0.1052631578947368,1.0
WWBN_AVideo_sw.js,JavaScript,127,10,6,0.044776119402985,33.46206896551724,113,0.0476190476190476,4,2.6,2,0,7,2,0,3.125984251968504,0.4094488188976378,0.0827586206896551,1.0
nrminaaa_are_sentences_similar_are_sentences_similar.py,Python,20,1,3,0.125,44.357142857142854,111,0.04,0,8.0,0,2,4,0,0,5.75,1.35,0.1785714285714285,1.0
tdye24_Data_Streams_ws.js,JavaScript,25,5,0,0.0,15.903225806451612,45,0.25,3,1.4,1,0,0,0,0,2.44,0.6,0.1935483870967742,1.0
damithch_ML_Models_Ml.py,Python,40,0,14,0.2545454545454545,33.31428571428572,134,0.0,0,0.0,8,0,0,0,0,5.25,0.5,0.2285714285714285,0.0
chaitanya21kumar_contestpulse_index.jsx,Unknown,126,3,0,0.0,33.87769784172662,155,0.0588235294117647,0,1.6666666666666667,0,0,1,0,0,3.6825396825396823,0.0,0.0935251798561151,1.0
rbrn1999_leetcode-sol_1829. Maximum XOR for Each Query.py,Python,8,1,1,0.1,30.545454545454547,75,0.1111111111111111,0,2.0,0,1,0,0,0,4.375,0.625,0.1818181818181818,0.6666666666666666
Taka005_TakasumiBOTv2_words.js,JavaScript,15895,0,0,0.0,9.738156653035546,26,0.2,1,0.0,1,0,0,0,0,0.8800251651462724,0.0003774771940861,0.0,0.0
alastairsounds_Frontend-Masters_exercise.py,Python,25,2,3,0.1034482758620689,27.15909090909091,80,0.2,0,2.0,1,2,3,0,1,4.24,0.6,0.3181818181818182,0.875
Niruthiha_labelled_data_only_extract5.py,Python,200,11,244,0.5483146067415731,43.09911504424779,172,0.0588235294117647,0,5.909090909090909,8,4,14,0,1,4.945,0.41,0.1946902654867256,0.9487179487179488
yugamax_Talk-with-AI_AI.py,Python,80,1,0,0.0,48.776595744680854,1350,0.024390243902439,0,7.0,7,3,2,6,0,6.0375,0.8,0.1489361702127659,0.5
thaonguyen1012_Javascript-learning_ex-string-coercion.js,JavaScript,16,0,24,0.5853658536585366,32.2093023255814,94,0.2,1,0.0,0,0,0,0,0,3.75,0.4375,0.0697674418604651,0.0
GobletQA_goblet-core_tap.js,JavaScript,86,0,3,0.0333333333333333,29.22222222222222,90,0.0909090909090909,6,0.0,2,0,0,0,0,2.13953488372093,0.0465116279069767,0.0111111111111111,0.0
KadirEmreOto_hackerrank_kod.py,Python,113,7,2,0.0172413793103448,30.724358974358974,109,0.0588235294117647,0,3.2857142857142856,5,7,9,4,0,4.495575221238938,0.6460176991150443,0.2628205128205128,1.0
ANSHIKA-26_WordWise_sw.js,JavaScript,40,7,0,0.0,19.0,52,0.0909090909090909,4,1.2857142857142858,0,0,1,0,0,2.025,0.225,0.1304347826086956,1.0
AxiosLeo_node-koapp_socket.js,JavaScript,151,16,0,0.0,29.47530864197531,98,0.0714285714285714,7,1.6875,10,0,6,3,0,3.357615894039735,0.5629139072847682,0.0679012345679012,0.9875
Minkov_imdb-scapper_app.js,JavaScript,50,11,0,0.0,28.24590163934426,146,0.0769230769230769,3,1.181818181818182,7,1,1,0,0,3.32,0.48,0.180327868852459,0.9772727272727272
seanpm2001_Git-Templates_PROJECT_LANG_1_Learn-Python_Python.py,Python,0,0,14,0.9333333333333332,58.05882352941177,220,0.0,0,0.0,0,0,0,0,1,0.0,0.0,0.0588235294117647,0.0
logg926_chinese-wizard_routes.js,JavaScript,29,3,41,0.5774647887323944,56.28767123287671,137,0.2,3,2.6666666666666665,1,0,2,0,0,4.241379310344827,0.6896551724137931,0.0410958904109589,1.0
palamut62_flask_tweet_app_github_module.py,Python,318,18,472,0.5967130214917825,38.592173017507726,144,0.0344827586206896,0,8.722222222222221,10,6,31,28,1,4.1257861635220126,0.6446540880503144,0.1730175077239958,0.6181190994916484
mattchoi2_Tower-Defense-JS-Game_UI.js,JavaScript,244,14,0,0.0,29.399239543726235,141,0.1111111111111111,3,3.357142857142857,0,1,19,0,0,4.209016393442623,0.4631147540983606,0.0722433460076045,1.0
lavallone_RL_RestrainingBolts_breakout_env.py,Python,150,85,459,0.7524590163934426,29.59173126614987,106,0.0344827586206896,0,1.9176470588235297,10,2,29,0,1,4.693333333333333,0.4866666666666667,0.1989664082687338,0.9835327587649568
dougmcilwraith_aiw-second-edition_A1.py,Python,29,0,5,0.1428571428571428,29.638297872340427,88,0.3333333333333333,0,0.0,6,2,0,0,0,5.275862068965517,0.7586206896551724,0.2765957446808511,0.0
darren-glanville_Portfolio-Next-Site_data.js,JavaScript,73,0,2,0.0263157894736842,18.75,74,0.2,1,0.0,2,0,0,0,0,1.6986301369863013,0.0958904109589041,0.0131578947368421,0.0
AJAY0993_kata-scraper_pup.js,JavaScript,137,7,3,0.0212765957446808,28.741935483870968,87,0.0666666666666666,8,1.8571428571428572,4,3,3,3,0,3.343065693430657,0.3065693430656934,0.0967741935483871,0.9523809523809524
LambdaQs_qsharp-samples_copy.py,Python,53,0,5,0.0847457627118644,43.06349206349206,87,0.0769230769230769,0,0.0,4,11,4,0,0,6.132075471698113,0.7169811320754716,0.0793650793650793,0.0
kuhrmdhn_30DayJavascriptChallenge_day15.js,JavaScript,5,2,5,0.4545454545454545,43.69230769230769,87,0.0,0,1.0,0,0,0,0,0,8.0,1.0,0.2307692307692307,1.0
zhaoyingjun_TensorFlow-Coding_via.js,JavaScript,7591,273,536,0.0659448818897637,33.58099891422367,409,0.0204081632653061,9,3.879120879120879,3,182,718,1,0,3.144776709260967,0.5416941114477671,0.1175895765472312,0.8831350848707618
Debarshi-Choudhury_codeforcesInfoGrabber_extra.js,JavaScript,42,2,37,0.4625,23.989690721649485,71,0.1666666666666666,6,6.0,0,1,4,0,0,3.142857142857143,0.5476190476190477,0.1855670103092783,1.0
530154436_py_learning_tmp.py,Python,8,0,40,0.8163265306122449,58.9811320754717,1279,0.2,0,0.0,0,2,0,0,0,6.375,1.0,0.0943396226415094,0.0
Luckyspot0gold_Horses_Chipy.js,JavaScript,155,0,0,0.0,24.10989010989011,68,0.0909090909090909,2,0.0,0,0,0,2,0,3.2580645161290325,0.0516129032258064,0.1483516483516483,0.0
Erik-Simonian_Leetcode_Problem 123 Best Time to Buy and Sell Stock III.py,Python,0,1,54,0.9818181818181818,35.828125,118,0.0,0,7.0,0,0,0,0,1,0.0,0.0,0.140625,1.0
SarveshwarSenthilKumar_ClimateChangeUnitProject_sql.py,Python,57,12,353,0.8588807785888077,35.90959409594096,158,0.0769230769230769,0,9.416666666666666,8,1,8,3,1,4.4035087719298245,0.8070175438596491,0.2214022140221402,0.9583333333333334
shreeramsingh_30_days_javascript_challenge_Day1.js,JavaScript,25,0,14,0.35,26.196428571428573,107,1.0,1,0.0,0,0,0,0,0,3.76,0.6,0.3035714285714285,0.0
NBUT-Developers_nbut-online-judge-v3-web_oj.js,JavaScript,65,2,4,0.0571428571428571,24.114942528735632,91,0.0833333333333333,3,2.0,15,0,3,0,0,3.96923076923077,0.2615384615384615,0.2068965517241379,1.0
h920032_Leetcode_905.sort-array-by-parity.py,Python,11,1,7,0.3684210526315789,22.571428571428573,62,0.0769230769230769,0,6.0,0,1,3,0,0,4.818181818181818,0.7272727272727273,0.1428571428571428,1.0
Gityosan_Nuxt3-template_.eslintrc.js,JavaScript,50,0,4,0.0727272727272727,23.25925925925926,48,0.1428571428571428,3,0.0,2,0,0,0,0,2.7,0.06,0.0,0.0
tmhglnd_mercury-playground_server.js,JavaScript,50,8,2,0.0377358490566037,24.129032258064516,87,0.5,2,1.125,3,0,3,0,0,3.78,0.36,0.1612903225806451,1.0
adityarb2003_OnePaper_main.py,Python,265,28,847,0.7610062893081762,40.42926045016077,159,0.0142857142857142,0,3.4642857142857144,24,4,11,16,1,4.7622641509433965,0.6113207547169811,0.0827974276527331,0.9502688172043012
qaderizadeh_test_1.js,JavaScript,8901,648,0,0.0,31.37553358795776,188,0.0285714285714285,13,3.2299382716049383,8,49,354,71,0,2.856308279968543,0.4779238287832827,0.0001123343068973,0.9151506556300464
